[2021-05-09 06:38:57,812] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:39:34,868] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61770]
[2021-05-09 06:40:44,916] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:40:50,635] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61775]
[2021-05-09 06:42:07,356] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:42:11,602] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61778]
[2021-05-09 06:45:55,922] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:47:45,025] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61806]
[2021-05-09 06:51:03,627] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:51:10,288] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61823]
[2021-05-09 06:53:24,637] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61826]
[2021-05-09 06:53:57,532] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 06:54:00,210] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61829]
[2021-05-09 06:55:34,443] | [MRSYNC_DAEMON] | [INFO] | [DAEMON STARTED 127.0.0.1:10873]
[2021-05-09 07:01:42,610] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61841]
[2021-05-09 07:03:27,270] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61844]
[2021-05-09 07:03:56,724] | [MRSYNC_DAEMON] | [INFO] | [NEW REQUEST FROM 127.0.0.1:61845]
